method,scale,distance,treatment,flake,nodule number,nodule sub number,flake number,average curvature,standard deviation,sheet
old method,10um,0.5,F1F,O_N_38_2,38,,2,6.628010725,14.59706586,old-0.5-10
old method,10um,0.5,F1F,O_N_38_3,38,,3,6.427312111,16.25013734,old-0.5-10
old method,10um,0.5,F1F,O_N_38_9,38,,9,12.49888415,22.53926886,old-0.5-10
old method,10um,0.5,F1F,O_N_38_10,38,,10,7.917589736,11.85946667,old-0.5-10
old method,10um,0.5,F1F,O_N_38_13,38,,13,6.196916096,15.4233217,old-0.5-10
old method,10um,0.5,F1F,O_N_38_18,38,,18,14.95971037,27.20808602,old-0.5-10
old method,10um,0.5,F1F,O_N_38_20,38,,20,6.028748048,14.2611165,old-0.5-10
old method,10um,0.5,F1F,O_N_38_22A,38,,22A,7.01355379,14.63099243,old-0.5-10
old method,10um,0.5,F1F,O_N_38_25,38,,25,8.999602726,14.30212831,old-0.5-10
old method,10um,0.5,F1F,O_N_54A_15,54,A,15,26.11859133,37.71391997,old-0.5-10
old method,10um,0.5,F1F,O_N_2_11B,2,,11B,6.950389046,14.45938811,old-0.5-10
old method,10um,0.5,F1F,O_N_2_11A,2,,11A,7.882654965,16.85479157,old-0.5-10
old method,10um,0.5,F1F,O_N_2_19,2,,19,11.67426449,16.52181026,old-0.5-10
old method,10um,0.5,F1F,O_N_14A_4,14,A,4,8.750529665,15.29764558,old-0.5-10
old method,10um,0.5,F1F,O_N_14A_15,14,A,15,5.645962352,19.09927985,old-0.5-10
old method,10um,0.5,F1F,O_N_54A_31,54,A,31,7.044595422,12.8997542,old-0.5-10
old method,10um,0.5,F1F,O_N_14A_27,14,A,27,6.721479149,17.45150102,old-0.5-10
old method,10um,0.5,F2F,O_N_32A-3,32,A,3,9.628383541,13.85587888,old-0.5-10
old method,10um,0.5,F2F,O_N_32A-21,32,A,21,15.39757413,28.58165537,old-0.5-10
old method,10um,0.5,F2F,O_N_32A-29,32,A,29,6.82891267,15.02991731,old-0.5-10
old method,10um,0.5,F2F,O_N_32B-3,32,B,3,8.281817722,18.00447857,old-0.5-10
old method,10um,0.5,F2F,O_N_32B-7,32,B,7,6.765820462,15.15587003,old-0.5-10
old method,10um,0.5,F2F,O_N_32B-16,32,B,16,9.573256619,18.90321912,old-0.5-10
old method,10um,0.5,F2F,O_N_32C-3,32,C,3,17.86042471,30.01410008,old-0.5-10
old method,10um,0.5,F2F,O_N_32C-4,32,C,4,7.630671047,17.93335861,old-0.5-10
old method,10um,0.5,F2F,O_N_32C-7,32,C,7,8.218787407,17.80116595,old-0.5-10
old method,20um,0.5,Unheated,O.N.87_A_14,87,A,14,7.302558937,10.66227511,old-0.5-20
old method,20um,0.5,Unheated,O.N.87_A_17,87,A,17,8.777453795,9.462477547,old-0.5-20
