method,scale,distance,treatment,heating_condition,flake,nodule_number,nodule_sub_number,flake_number,average_curvature,standard_deviation,sheet,fuelwood,wood_density,fuelwood_key,n_source_rows
old method,20um,0.1,F1F,ember,O_N_38_18,38,NA,18,16.1905151049567,17.52013578,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1F,ember,O_N_38_20,38,NA,20,11.9893009813012,20.93116809,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1F,ember,O_N_38_22A,38,NA,22A,11.445025934785,20.50746845,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1F,ember,O_N_38_25,38,NA,25,13.4881021596508,21.65822098,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1F,ember,O_N_54A_15,54,A,15,37.0329260055228,29.60264692,old-0.1-20,Protea susannae,0.6,protea susannae,18
old method,20um,0.1,F1F,ember,O_N_2_11B,2,NA,11B,15.4695343148033,22.7160871,old-0.1-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.1,F1F,ember,O_N_2_11A,2,NA,11A,13.0199686335296,19.989529,old-0.1-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.1,F1F,ember,O_N_2_19,2,NA,19,11.2386099198341,20.8031098,old-0.1-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.1,F1F,ember,O_N_14A_4,14,A,4,11.5748335928648,18.72412878,old-0.1-20,Protea obtusifolia,0.58,protea obtusifolia,27
old method,20um,0.1,F1F,ember,O_N_14A_15,14,A,15,14.2485775958559,24.32217841,old-0.1-20,Protea obtusifolia,0.58,protea obtusifolia,27
old method,20um,0.1,F1F,ember,O_N_54A_31,54,A,31,12.1988171245516,19.36161936,old-0.1-20,Protea susannae,0.6,protea susannae,18
old method,20um,0.1,F1F,ember,O_N_14A_27,14,A,27,15.9640383479693,24.75250132,old-0.1-20,Protea obtusifolia,0.58,protea obtusifolia,27
old method,20um,0.1,F2F,ember,O_N_32A-3,32,A,3,15.6069453210854,17.07642396,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2F,ember,O_N_32A-21,32,A,21,12.1765511985847,18.70299985,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2F,ember,O_N_32A-29,32,A,29,14.4902960395256,21.88785341,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2F,ember,O_N_32B-3,32,B,3,15.054311325106,25.13558536,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2F,ember,O_N_32B-7,32,B,7,12.4312428300006,19.58601178,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2F,ember,O_N_32B-16,32,B,16,20.8318756295429,31.97373238,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2F,ember,O_N_32C-3,32,C,3,19.278655291304,24.32385118,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2F,ember,O_N_32C-4,32,C,4,14.8015146939889,24.10884744,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2F,ember,O_N_32C-7,32,C,7,16.3338266763541,28.4005131,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,Unheated,unheated,O.N.87_A_14,87,A,14,11.6305689551669,13.0141454811901,old-0.5-10,none,NA,none,153
old method,10um,0.5,Unheated,unheated,O.N.87_A_17,87,A,17,12.0034062015111,12.8998409277592,old-0.5-10,none,NA,none,153
old method,10um,0.5,Unheated,unheated,O.N.87_A_19,87,A,19,28.871226432611,34.5155810075172,old-0.5-10,none,NA,none,153
old method,10um,0.5,Unheated,unheated,O.N.87_A_22,87,A,22,19.067905368665695,23.4688032344904,old-0.5-10,none,NA,none,153
old method,10um,0.5,Unheated,unheated,O.N.87_A_29,87,A,29,9.326853721789009,8.140487213282249,old-0.5-10,none,NA,none,153
old method,10um,0.5,Unheated,unheated,O.N.87_A_4,87,A,4,11.1926131982232,18.2639751105774,old-0.5-10,none,NA,none,153
old method,10um,0.5,Unheated,unheated,O.N.87_A_5,87,A,5,13.8292066785867,14.9152124989442,old-0.5-10,none,NA,none,153
old method,10um,0.5,Unheated,unheated,O.N.87_A_9,87,A,9,7.12508178672607,8.71806153750823,old-0.5-10,none,NA,none,153
old method,10um,0.5,Unheated,unheated,O.N.87_B_13,87,B,13,10.4041691441635,15.5391352150697,old-0.5-10,none,NA,none,153
old method,10um,0.5,Unheated,unheated,O.N.87_B_19,87,B,19,9.960715315410468,14.019428774669,old-0.5-10,none,NA,none,153
old method,10um,0.5,Unheated,unheated,O.N.87_B_23,87,B,23,14.3339327038314,16.7392122335658,old-0.5-10,none,NA,none,153
old method,10um,0.5,Unheated,unheated,O.N.87_B_24,87,B,24,15.0304260783443,19.85198856,old-0.5-10,none,NA,none,153
old method,10um,0.5,Unheated,unheated,O.N.87_B_28,87,B,28,18.9814692648925,23.5491991207528,old-0.5-10,none,NA,none,153
old method,10um,0.5,Unheated,unheated,O.N.87_B_2,87,B,2,17.8527446865269,25.460270584672696,old-0.5-10,none,NA,none,153
old method,10um,0.5,Unheated,unheated,O.N.87_B_31,87,B,31,24.2063829041486,34.0350106152949,old-0.5-10,none,NA,none,153
old method,10um,0.5,Unheated,unheated,O.N.87_B_6,87,B,6,17.5207481961988,17.39301198,old-0.5-10,none,NA,none,153
old method,10um,0.5,Unheated,unheated,O.N.87_B_7,87,B,7,8.84462190096871,8.36511177043461,old-0.5-10,none,NA,none,153
old method,10um,0.5,F1S,sand,O_N_37_2,37,NA,2,27.198868245203695,37.3161359683009,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1S,sand,O_N_37_3A,37,NA,3A,4.50122559508747,8.05877763453255,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1S,sand,O_N_37_4A,37,NA,4A,9.39797129930921,18.0043410155738,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1S,sand,O_N_37_8A,37,NA,8A,17.5448577662505,29.0715699346731,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1S,sand,O_N_37_8B,37,NA,8B,15.6185880395072,26.2918638568822,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1S,sand,O_N_37_12A,37,NA,12A,13.0451346635171,18.2098483232291,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1S,sand,O_N_37_17A,37,NA,17A,13.8966958074388,22.237934433304495,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1S,sand,O_N_37_21,37,NA,21,10.5333469468768,26.1431586379599,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1S,sand,O_N_37_30,37,NA,30,7.0379516824268,14.8260649872348,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1S,sand,O_N_37_45,37,NA,45,5.13605757979715,12.4741171124525,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
